MarketID,InterestRate,InflationRate,HousingDemandIndex,MarketDate
M1,6.1,3.1,81,2024-02-01
M2,6.2,3.2,82,2024-03-01
M3,6.3,3.3,83,2024-04-01
M4,6.4,3.4,84,2024-05-01
M5,6.0,3.0,85,2024-06-01
M6,6.1,3.1,86,2024-07-01
M7,6.2,3.2,87,2024-08-01
M8,6.3,3.3,88,2024-09-01
M9,6.4,3.4,89,2024-10-01
M10,6.0,3.0,80,2024-11-01
M11,6.1,3.1,81,2024-12-01
M12,6.2,3.2,82,2024-01-01
M13,6.3,3.3,83,2024-02-01
M14,6.4,3.4,84,2024-03-01
M15,6.0,3.0,85,2024-04-01
M16,6.1,3.1,86,2024-05-01
M17,6.2,3.2,87,2024-06-01
M18,6.3,3.3,88,2024-07-01
M19,6.4,3.4,89,2024-08-01
M20,6.0,3.0,80,2024-09-01
M21,6.1,3.1,81,2024-10-01
M22,6.2,3.2,82,2024-11-01
M23,6.3,3.3,83,2024-12-01
M24,6.4,3.4,84,2024-01-01
M25,6.0,3.0,85,2024-02-01
M26,6.1,3.1,86,2024-03-01
M27,6.2,3.2,87,2024-04-01
M28,6.3,3.3,88,2024-05-01
M29,6.4,3.4,89,2024-06-01
M30,6.0,3.0,80,2024-07-01
M31,6.1,3.1,81,2024-08-01
M32,6.2,3.2,82,2024-09-01
M33,6.3,3.3,83,2024-10-01
M34,6.4,3.4,84,2024-11-01
M35,6.0,3.0,85,2024-12-01
M36,6.1,3.1,86,2024-01-01
M37,6.2,3.2,87,2024-02-01
M38,6.3,3.3,88,2024-03-01
M39,6.4,3.4,89,2024-04-01
M40,6.0,3.0,80,2024-05-01
M41,6.1,3.1,81,2024-06-01
M42,6.2,3.2,82,2024-07-01
M43,6.3,3.3,83,2024-08-01
M44,6.4,3.4,84,2024-09-01
M45,6.0,3.0,85,2024-10-01
M46,6.1,3.1,86,2024-11-01
M47,6.2,3.2,87,2024-12-01
M48,6.3,3.3,88,2024-01-01
M49,6.4,3.4,89,2024-02-01
M50,6.0,3.0,80,2024-03-01
M51,6.1,3.1,81,2024-04-01
M52,6.2,3.2,82,2024-05-01
M53,6.3,3.3,83,2024-06-01
M54,6.4,3.4,84,2024-07-01
M55,6.0,3.0,85,2024-08-01
M56,6.1,3.1,86,2024-09-01
M57,6.2,3.2,87,2024-10-01
M58,6.3,3.3,88,2024-11-01
M59,6.4,3.4,89,2024-12-01
M60,6.0,3.0,80,2024-01-01
M61,6.1,3.1,81,2024-02-01
M62,6.2,3.2,82,2024-03-01
M63,6.3,3.3,83,2024-04-01
M64,6.4,3.4,84,2024-05-01
M65,6.0,3.0,85,2024-06-01
M66,6.1,3.1,86,2024-07-01
M67,6.2,3.2,87,2024-08-01
M68,6.3,3.3,88,2024-09-01
M69,6.4,3.4,89,2024-10-01
M70,6.0,3.0,80,2024-11-01
M71,6.1,3.1,81,2024-12-01
M72,6.2,3.2,82,2024-01-01
M73,6.3,3.3,83,2024-02-01
M74,6.4,3.4,84,2024-03-01
M75,6.0,3.0,85,2024-04-01
M76,6.1,3.1,86,2024-05-01
M77,6.2,3.2,87,2024-06-01
M78,6.3,3.3,88,2024-07-01
M79,6.4,3.4,89,2024-08-01
M80,6.0,3.0,80,2024-09-01
M81,6.1,3.1,81,2024-10-01
M82,6.2,3.2,82,2024-11-01
M83,6.3,3.3,83,2024-12-01
M84,6.4,3.4,84,2024-01-01
M85,6.0,3.0,85,2024-02-01
M86,6.1,3.1,86,2024-03-01
M87,6.2,3.2,87,2024-04-01
M88,6.3,3.3,88,2024-05-01
M89,6.4,3.4,89,2024-06-01
M90,6.0,3.0,80,2024-07-01
M91,6.1,3.1,81,2024-08-01
M92,6.2,3.2,82,2024-09-01
M93,6.3,3.3,83,2024-10-01
M94,6.4,3.4,84,2024-11-01
M95,6.0,3.0,85,2024-12-01
M96,6.1,3.1,86,2024-01-01
M97,6.2,3.2,87,2024-02-01
M98,6.3,3.3,88,2024-03-01
M99,6.4,3.4,89,2024-04-01
M100,6.0,3.0,80,2024-05-01
